1,1,(150,2.91416)
2,1,(166,4.36718)
3,1,(145,2.37579)
4,1,(176,1.82264)
5,1,(217,2.58467)
6,1,(198,3.51932)
7,1,(296,1.58224)
8,1,(217,3.41983)
9,1,(280,0.764708)
10,1,(220,1.44117)
11,1,(64,0.293333)
12,1,(186,2.49474)
13,1,(76,3.8852)
14,1,(40,4.73317)
15,1,(66,1.44885)
16,1,(68,0.253333)
17,1,(65,3.19131)
18,1,(194,3.58433)
19,1,(313,4.94327)
20,1,(228,3.91865)
21,1,(48,9.96155)
22,1,(182,6.02479)
23,1,(7,7.22907)
24,1,(315,4.20243)
25,1,(343,2.19993)
26,1,(318,4.2089)
27,1,(348,9.90274)
28,1,(93,4.39389)
29,1,(82,7.54141)
30,1,(328,2.52973)
31,1,(277,3.61297)
32,1,(17,4.35428)
33,1,(64,5.36153)
34,1,(14,6.15993)
35,1,(130,4.12645)
36,1,(17,4.3935)
37,1,(328,4.36758)
38,1,(361,4.11298)
39,1,(314,7.03085)
40,1,(14,4.65252)
41,1,(42,4.36654)
42,1,(90,2.07436)
43,1,(53,5.03432)
44,1,(42,2.55688)
45,1,(299,2.43186)
46,1,(95,2.59249)
47,1,(130,3.65315)
48,1,(100,8.08059)
49,1,(159,6.11031)
50,1,(58,4.96406)
51,1,(95,4.03967)
52,1,(90,5.76151)
53,1,(209,4.84005)
54,1,(311,6.28632)
55,1,(296,2.53236)
56,1,(310,5.85423)
57,1,(60,3.99921)
58,1,(95,2.4984)
59,1,(257,4.10951)
60,1,(147,2.12851)
61,1,(164,7.63432)
62,1,(245,5.02173)
63,1,(223,2.98714)
64,1,(11,0.293333)
65,1,(178,1.6807)
66,1,(15,1.49414)
67,1,(176,2.77388)
68,1,(16,0.253333)
69,1,(116,5.22153)
70,1,(321,6.43863)
71,1,(77,2.44561)
72,1,(127,2.73754)
73,1,(88,3.77596)
74,1,(63,3.46727)
75,1,(161,2.73447)
76,1,(117,1.23561)
77,1,(71,2.46465)
78,1,(143,5.87002)
79,1,(73,6.83816)
80,1,(85,3.34387)
81,1,(140,1.75276)
82,1,(76,3.15933)
83,1,(117,2.2263)
84,1,(76,1.91258)
85,1,(80,3.29944)
86,1,(87,4.56695)
87,1,(86,4.43374)
88,1,(73,3.71818)
89,1,(136,4.67126)
90,1,(42,2.07127)
91,1,(147,4.27568)
92,1,(57,4.2523)
93,1,(223,2.90562)
94,1,(111,3.90349)
95,1,(115,1.43848)
96,1,(130,1.8821)
97,1,(117,1.57278)
98,1,(102,1.24908)
99,1,(33,6.25687)
100,1,(267,3.27592)
101,1,(196,4.85436)
102,1,(113,0.835183)
103,1,(132,3.49171)
104,1,(138,3.53063)
105,1,(138,4.2325)
106,1,(242,5.60158)
107,1,(16,2.37191)
108,1,(120,6.25658)
109,1,(315,1.90696)
110,1,(366,7.61611)
111,1,(94,3.8752)
112,1,(313,2.47715)
113,1,(102,0.847537)
114,1,(170,1.86006)
115,1,(95,1.48302)
116,1,(122,3.31307)
117,1,(76,1.26968)
118,1,(114,3.92052)
119,1,(137,1.87122)
120,1,(108,6.24178)
121,1,(138,4.98036)
122,1,(116,3.48629)
123,1,(72,5.46484)
124,1,(70,6.79758)
125,1,(143,5.47766)
126,1,(117,1.61144)
127,1,(72,2.63943)
128,1,(317,1.66321)
129,1,(98,2.1653)
130,1,(96,1.85581)
131,1,(89,4.96045)
132,1,(103,3.59394)
133,1,(139,2.46909)
134,1,(135,2.86891)
135,1,(113,2.44239)
136,1,(89,4.47969)
137,1,(119,1.83385)
138,1,(104,3.52948)
139,1,(133,2.47017)
140,1,(81,1.75304)
141,1,(117,2.80466)
142,1,(81,7.71613)
143,1,(125,5.55588)
144,1,(39,13.6011)
145,1,(328,2.0827)
146,1,(170,1.85144)
147,1,(230,2.11431)
148,1,(129,3.01235)
149,1,(161,1.6157)
150,1,(157,0.572759)
151,1,(159,2.82532)
152,1,(153,6.49352)
153,1,(152,6.51632)
154,1,(182,6.37994)
155,1,(129,3.5014)
156,1,(288,3.22089)
157,1,(150,0.602831)
158,1,(175,1.72829)
159,1,(162,1.86539)
160,1,(285,2.36881)
161,1,(304,0.921814)
162,1,(159,1.91149)
163,1,(158,3.43351)
164,1,(241,5.2258)
165,1,(187,1.81951)
166,1,(2,4.38347)
167,1,(111,4.43202)
168,1,(197,3.11635)
169,1,(322,1.77589)
170,1,(291,1.50387)
171,1,(145,2.65803)
172,1,(176,2.03661)
173,1,(190,3.99041)
174,1,(190,2.29465)
175,1,(180,1.21882)
176,1,(4,1.88132)
177,1,(176,2.28681)
178,1,(188,1.21969)
179,1,(180,2.07389)
180,1,(175,1.19298)
181,1,(190,2.92503)
182,1,(184,3.34024)
183,1,(182,4.13596)
