1,3,(178,0.571139),(62,0.876069),(180,1.04515)
2,3,(678,0.816458),(522,0.833543),(218,0.881181)
3,3,(423,1.09815),(941,1.68545),(528,1.71242)
4,3,(502,1.06241),(393,1.47993),(815,1.58318)
5,3,(523,1.21013),(815,1.36294),(738,1.47821)
6,3,(686,1.32636),(88,1.63145),(830,1.78532)
7,3,(787,0.470774),(929,0.833164),(47,0.989712)
8,3,(512,1.01357),(816,1.08496),(731,1.26472)
9,3,(988,0.990171),(212,1.00362),(817,1.05291)
10,3,(321,0.0541983),(36,0.833065),(126,0.916541)
11,3,(463,0.662904),(965,0.674489),(624,0.742415)
12,3,(505,0.916556),(923,1.0293),(594,1.07521)
13,3,(406,0.564962),(481,0.712186),(541,0.897225)
14,3,(180,0.38736),(839,0.629354),(824,0.682114)
15,3,(156,0.313432),(747,0.611951),(532,0.733286)
16,3,(167,0.530811),(467,0.664107),(415,0.720178)
17,3,(150,0.361681),(804,0.579962),(774,0.60916)
18,3,(213,1.83428),(741,2.03906),(557,2.23052)
19,3,(379,1.05275),(989,1.20912),(703,1.22467)
20,3,(717,0.898666),(896,0.956685),(792,1.16335)
21,3,(207,0.560719),(380,0.874888),(247,0.876019)
22,3,(710,1.39768),(732,1.44607),(906,1.47223)
23,3,(582,1.28026),(694,1.34634),(618,1.34792)
24,3,(1000,1.0158),(538,1.17705),(479,1.32904)
25,3,(793,1.24191),(386,1.3221),(727,1.50422)
26,3,(261,0.966217),(61,1.17842),(110,1.19142)
27,3,(998,0.780263),(441,1.30648),(844,1.32544)
28,3,(976,1.90849),(428,1.97698),(758,2.09552)
29,3,(448,0.360049),(499,0.740857),(234,0.782152)
30,3,(814,1.34594),(702,1.74773),(974,1.78231)
31,3,(450,1.34022),(51,1.36001),(786,1.38387)
32,3,(209,0.348598),(144,0.52139),(261,0.75356)
33,3,(108,0.761893),(385,1.04477),(672,1.0615)
34,3,(284,0.774414),(355,0.862595),(585,0.893564)
35,3,(605,0.988865),(384,1.04624),(664,1.07224)
36,3,(10,0.833065),(321,0.833561),(967,0.993815)
37,3,(600,1.63969),(305,1.67779),(982,2.09623)
38,3,(50,0.949439),(359,1.07979),(478,1.11458)
39,3,(627,0.393987),(391,0.692079),(249,0.723647)
40,3,(763,0.562485),(709,0.670368),(202,0.700423)
41,3,(943,0.618003),(626,0.698361),(878,0.932406)
42,3,(966,0.794093),(436,0.815096),(633,0.985317)
43,3,(791,1.00016),(738,1.08239),(530,1.30822)
44,3,(803,1.05042),(119,1.32154),(737,1.3862)
45,3,(702,0.751738),(76,1.48402),(294,1.53135)
46,3,(380,0.822944),(547,0.962042),(325,0.962238)
47,3,(165,0.45027),(477,0.49472),(929,0.519922)
48,3,(805,1.28081),(752,1.42503),(343,1.4452)
49,3,(773,1.43688),(868,1.46543),(372,1.46691)
50,3,(359,0.568923),(103,0.894961),(509,0.896881)
51,3,(613,0.807564),(356,0.856304),(241,0.915197)
52,3,(731,0.99022),(33,1.11647),(526,1.2677)
53,3,(225,0.448568),(103,0.484927),(509,0.584704)
54,3,(507,1.03304),(750,1.03817),(436,1.10418)
55,3,(542,1.0576),(134,1.30063),(789,1.31205)
56,3,(276,1.95331),(315,1.96137),(860,2.01196)
