Algorithm,Mode,k,read,preprocess,classify,write,total
Knn,g,1,15,2,15,38,70
Knn,g,3,12,2,16,18,48
Knn,g,7,12,2,16,17,47
Knn,l,1,15,2,22,19,58
Knn,l,3,12,2,21,40,75
Knn,l,7,15,1,20,19,55
Ria,g,3,14,2,48,40,103
Ria,l,3,14,2,63,21,100
Riona,g,1,13,2,19,22,56
Riona,g,3,12,2,21,20,55
Riona,g,7,12,2,19,16,50
Riona,l,1,14,2,30,42,88
Riona,l,3,14,2,24,41,81
Riona,l,7,14,2,24,18,58
