1,8,(150,2.91416),(157,3.22025),(186,3.45684),(151,3.71718),(159,3.98457),(360,4.03445),(178,4.43506),(12,5.14649)
2,8,(166,4.36718),(94,6.45899),(11,7.01215),(167,7.01991),(14,7.12497),(64,7.30549),(87,7.37916),(234,7.96385)
3,8,(145,2.37579),(171,2.63915),(191,2.83193),(170,3.33577),(327,3.78214),(112,3.94633),(146,4.05851),(253,4.14232)
4,8,(176,1.82264),(172,2.95827),(67,3.31814),(195,3.39476),(177,3.41065),(194,4.52225),(337,4.97584),(211,5.0475)
5,8,(217,2.58467),(214,2.89208),(216,3.14796),(218,3.44383),(213,3.93987),(315,4.83396),(291,4.84241),(139,4.99141)
6,8,(198,3.51932),(199,4.54961),(200,4.84041),(196,4.95576),(126,5.26888),(84,5.62183),(71,5.69099),(149,5.69872)
7,8,(296,1.58224),(339,2.45763),(355,2.51469),(223,2.67549),(342,2.88099),(25,3.00752),(55,3.07951),(63,3.30253)
8,8,(217,3.41983),(218,4.07255),(291,5.01446),(214,5.09958),(170,5.81538),(114,5.82096),(251,5.82889),(5,5.93618)
9,8,(280,0.764708),(10,2.13748),(282,2.14803),(260,2.17921),(219,2.24865),(220,2.46787),(149,2.65298),(304,2.66311)
10,8,(220,1.44117),(280,1.97242),(309,2.13782),(9,2.17957),(149,2.21716),(260,2.66761),(219,2.92361),(282,2.9322)
11,8,(64,0.293333),(33,5.32679),(40,5.38007),(273,5.80781),(210,6.07433),(206,6.14805),(207,6.59526),(166,6.6585)
12,8,(186,2.49474),(187,2.58433),(178,3.21788),(196,3.35218),(165,3.82466),(65,3.90252),(38,4.1532),(97,4.4307)
13,8,(76,3.8852),(97,4.34912),(65,4.37269),(165,4.46696),(17,5.00281),(231,5.11411),(117,5.12081),(188,5.15116)
14,8,(40,4.73317),(341,5.42288),(324,6.02483),(245,6.08508),(359,6.12487),(34,6.14917),(209,6.1738),(62,6.21407)
15,8,(66,1.44885),(192,3.78731),(303,4.05311),(301,4.18822),(313,4.40011),(302,4.84923),(197,5.04934),(288,5.05532)
16,8,(68,0.253333),(107,2.53731),(90,3.69803),(130,3.87121),(332,3.89406),(42,4.18537),(9,4.35009),(280,4.58099)
17,8,(65,3.19131),(97,3.61897),(76,3.62433),(117,3.81288),(159,4.15582),(165,4.28609),(126,4.32563),(32,4.37512)
18,8,(194,3.58433),(195,4.01065),(67,4.16363),(246,4.71473),(245,4.73679),(276,5.03416),(177,5.11414),(94,5.14501)
19,8,(313,4.94327),(51,5.56398),(316,5.87066),(301,5.87707),(314,6.09221),(128,6.14849),(95,6.37167),(365,6.43617)
20,8,(228,3.91865),(148,4.81438),(224,5.06977),(93,5.24843),(225,5.32182),(223,5.32562),(129,5.49391),(63,5.51001)
21,8,(48,9.96155),(27,11.549),(72,12.2396),(127,12.8661),(241,13.3677),(100,13.4003),(61,13.657),(164,13.6834)
22,8,(182,6.02479),(198,7.25293),(184,7.72141),(84,8.01511),(6,8.13337),(278,8.35217),(183,8.641),(153,8.84158)
23,8,(7,7.22907),(296,7.84084),(20,7.94488),(63,7.96014),(203,7.9759),(28,8.08159),(93,8.27627),(342,8.40412)
24,8,(315,4.20243),(313,4.47937),(253,4.52994),(303,4.60876),(301,4.6436),(327,4.76677),(128,4.8314),(252,4.98304)
25,8,(343,2.19993),(335,2.76421),(355,2.79022),(339,2.90216),(7,3.05655),(334,3.16401),(296,3.74732),(342,4.28883)
26,8,(318,4.2089),(292,7.15448),(357,7.49971),(325,7.54782),(306,7.56003),(305,7.60752),(319,7.72122),(331,7.91039)
27,8,(348,9.90274),(269,10.6257),(345,10.9685),(72,10.9853),(267,11.1104),(268,11.4575),(21,11.466),(350,11.5713)
28,8,(93,4.39389),(223,4.63623),(354,5.08825),(342,5.16045),(116,5.57468),(85,5.57825),(300,5.59543),(20,5.68428)
29,8,(82,7.54141),(76,7.57832),(84,7.74373),(117,7.83424),(97,8.31864),(178,8.39369),(126,8.49794),(83,8.611)
30,8,(328,2.52973),(145,3.68915),(115,4.42912),(314,4.73712),(315,4.96112),(191,4.99818),(197,5.0196),(95,5.19918)
31,8,(277,3.61297),(276,4.05757),(67,5.47632),(244,5.50066),(351,5.53861),(366,5.5551),(53,5.72261),(248,5.80561)
32,8,(17,4.35428),(196,4.52591),(12,4.96895),(165,5.30781),(92,5.67183),(147,5.85605),(361,6.12378),(76,6.13212)
33,8,(64,5.36153),(11,5.44153),(353,5.99782),(99,6.12538),(356,6.63871),(209,6.66993),(167,6.85058),(210,6.93846)
34,8,(14,6.15993),(62,6.35017),(40,7.9134),(324,7.92428),(53,8.1149),(242,8.14548),(245,8.21234),(248,8.25403)
35,8,(130,4.12645),(9,5.08705),(161,5.28366),(280,5.47843),(47,5.56081),(304,5.77336),(96,5.9556),(323,6.0036)
36,8,(17,4.3935),(92,5.35706),(71,6.0149),(80,6.13364),(361,6.34414),(159,6.36349),(76,6.43841),(141,6.49883)
37,8,(328,4.36758),(316,5.56193),(314,5.59032),(30,5.74674),(303,5.80768),(95,5.94601),(315,5.98208),(191,6.11507)
38,8,(361,4.11298),(12,4.31439),(186,4.66324),(126,4.96702),(196,5.13661),(83,5.16186),(71,5.18251),(97,5.24647)
39,8,(314,7.03085),(95,7.30653),(315,7.5871),(313,7.81773),(301,7.86828),(327,8.11628),(328,8.2617),(303,8.31344)
40,8,(14,4.65252),(206,4.65504),(210,5.07661),(64,5.09519),(209,5.15382),(11,5.38852),(242,5.75787),(244,5.81827)
41,8,(42,4.36654),(361,5.08375),(90,5.12254),(57,5.36079),(200,5.5373),(199,5.76123),(44,6.59602),(282,6.61707)
42,8,(90,2.07436),(44,2.4871),(362,3.85784),(16,4.19216),(41,4.25798),(57,4.42632),(59,4.43827),(68,4.44549)
43,8,(53,5.03432),(306,5.4613),(305,6.57484),(336,7.00308),(56,7.2367),(284,7.30958),(319,7.38093),(108,7.65056)
44,8,(42,2.55688),(90,3.90227),(362,4.19669),(141,5.20061),(97,5.38898),(282,5.40685),(71,5.42519),(329,5.44489)
45,8,(299,2.43186),(55,4.90039),(296,5.43071),(129,5.60185),(148,5.72161),(80,5.72945),(300,5.8023),(85,5.81882)
46,8,(95,2.59249),(115,2.71114),(288,3.11072),(128,3.53606),(250,3.67621),(365,3.82325),(314,4.03499),(73,4.13755)
47,8,(130,3.65315),(304,4.3749),(282,4.40759),(161,4.5382),(326,4.56846),(9,4.62226),(323,4.63652),(280,4.69316)
48,8,(100,8.08059),(44,9.86902),(267,10.1243),(21,10.1655),(269,10.561),(72,10.875),(17,11.0051),(241,11.4328)
49,8,(159,6.11031),(280,6.39453),(282,6.46683),(9,6.73083),(151,6.79338),(162,7.09141),(13,7.125),(107,7.27089)
50,8,(58,4.96406),(156,5.03705),(288,5.3625),(46,5.72781),(192,6.41551),(95,6.56246),(115,6.84235),(328,7.15307)
51,8,(95,4.03967),(115,4.29031),(314,4.47531),(58,5.10122),(328,5.39316),(193,5.54848),(46,5.62631),(19,5.70417)
