Algorithm,Mode,k,read,preprocess,classify,write,total
Knn,g,1,22,10,275,49,356
Knn,g,3,23,11,267,46,347
Knn,g,9,22,12,281,35,350
Knn,l,1,24,14,417,29,485
Knn,l,3,24,11,404,48,487
Knn,l,9,22,11,425,54,512
Ria,g,3,26,12,7043,20,7101
Ria,l,3,24,12,10896,74,11006
Riona,g,1,22,11,266,48,346
Riona,g,3,38,15,305,67,424
Riona,g,9,33,22,298,61,414
Riona,l,1,28,14,481,57,580
Riona,l,3,35,16,582,52,686
Riona,l,9,23,11,464,59,557
