Algorithm,Mode,k,read,preprocess,classify,write,total
Knn,g,1,22,15,121,44,202
Knn,g,3,21,15,109,42,186
Knn,g,8,21,14,112,44,191
Knn,l,1,23,16,150,44,233
Knn,l,3,24,14,167,22,227
Knn,l,8,28,16,168,49,260
Ria,g,3,22,14,695,22,754
Ria,l,3,24,13,711,42,790
Riona,g,1,23,16,149,44,232
Riona,g,3,23,16,130,46,215
Riona,g,8,23,14,125,49,211
Riona,l,1,21,19,163,44,247
Riona,l,3,24,14,164,64,265
Riona,l,8,22,15,195,44,275
